carat,cut,color,clarity,price
1,3,1,VS1,5.863
1.12,2,1,SI1,5.863
1.35,2,1,VS2,5.862
1.14,2,1,SI1,5.861
1.1,4,2,SI1,5.861
1.1,4,1,VS2,5.861
1.9,5,1,VS1,5.86
1,3,1,VS2,5.86
1.1,5,2,SI1,5.86
1.81,1,1,I1,5.859
1.14,5,1,VS2,5.858
1.33,2,1,SI1,5.857
1.36,5,1,SI2,5.856
0.9,3,1,IF,5.855
1.1,2,1,VS2,5.855
1.23,4,1,SI1,5.855
1.11,2,1,SI1,5.854
1,4,1,VS2,5.854
1.1,5,2,SI1,5.854
1,1,1,VS1,5.853
1.2,4,1,VS1,5.853
1.16,2,1,SI1,5.852
1.33,2,1,VS1,5.852
1.15,5,1,SI1,5.851
1.25,4,2,SI2,5.851
1,4,2,SI1,5.851
1.8,2,1,VS2,5.85
1.3,5,1,VS1,5.849
1.26,4,1,VS2,5.849
1.2,5,2,SI2,5.846
1.5,1,1,VS2,5.846
1.2,5,1,SI2,5.846
1.9,4,1,VS1,5.845
1,2,2,VS2,5.844
1.5,2,2,SI1,5.842
1.17,2,2,SI2,5.842
0.74,2,2,VVS2,5.841
1.23,5,2,SI2,5.841
1.2,2,2,SI1,5.84
1,1,2,VS2,5.84
1.1,5,1,VS2,5.839
1.8,2,1,VS2,5.839
1.1,4,1,VS2,5.839
1.12,2,1,SI1,5.838
1.17,2,2,SI1,5.837
1.3,2,2,SI1,5.837
1.24,4,1,VS2,5.836
1.8,5,2,SI1,5.836
1.3,2,2,SI2,5.836
1.23,3,1,VS1,5.834
1.37,4,1,SI2,5.834
1.6,2,2,SI1,5.834
1.2,4,1,VS2,5.833
1,1,2,VS1,5.833
1.5,2,1,VS2,5.833
1.5,3,1,SI2,5.833
1.2,2,1,VS2,5.833
1.22,5,1,VS2,5.832
1.1,2,2,SI1,5.832
1.1,4,2,SI1,5.832
1.27,5,1,VS2,5.832
1.1,4,2,SI1,5.832
1.3,4,1,VS2,5.832
1.33,5,1,SI2,5.832
1.31,5,1,VS2,5.832
1.17,5,1,SI1,5.831
1.37,2,1,VS2,5.831
1.16,3,1,VVS2,5.831
1.14,2,1,VS2,5.831
1.15,4,1,VS2,5.831
1,3,2,VS1,5.829
1.13,2,2,SI1,5.829
0.9,2,2,VS2,5.828
1.1,2,1,SI2,5.828
1.2,2,1,SI2,5.826
1.3,5,1,VS2,5.826
1.21,4,1,SI1,5.826
0.91,4,2,VS2,5.825
1.19,3,2,SI1,5.825
1,2,1,VS2,5.824
1.3,5,1,VS2,5.824
1.1,3,2,SI1,5.823
1.19,2,2,SI2,5.822
1.2,5,1,SI1,5.822
1.2,2,1,SI1,5.822
1.2,5,1,SI1,5.822
1.2,5,1,SI1,5.822
1.5,5,2,SI1,5.821
1.5,5,2,SI1,5.821
1.5,5,1,VS2,5.821
1.8,3,2,SI1,5.821
1.5,4,2,SI1,5.821
1.1,5,2,SI1,5.821
1.7,4,1,VS2,5.82
1.7,2,1,VS2,5.82
1.23,2,1,SI2,5.82
1.31,2,1,SI2,5.82
1,3,2,VS2,5.819
1.14,4,2,SI1,5.819
1.2,3,1,VS1,5.818
1.2,3,1,VS1,5.818
1.8,5,1,VS1,5.818
1.12,2,1,SI1,5.818
1.6,5,2,SI1,5.817
1.2,2,1,VS2,5.816
1.9,2,2,SI1,5.816
1.2,4,1,SI1,5.816
1.9,2,2,SI1,5.816
1.2,3,1,VS2,5.816
1.2,2,1,VS2,5.816
1.18,4,1,SI1,5.815
1.29,5,1,VS2,5.815
1.1,4,2,SI1,5.815
1.21,2,1,SI2,5.814
1.2,4,2,SI1,5.814
1.3,5,1,VS2,5.814
1.7,5,2,SI1,5.813
1.13,2,1,VS1,5.813
1.6,5,1,VS2,5.813
1.1,2,2,SI1,5.812
1.1,4,2,SI1,5.812
1.25,2,1,SI2,5.81
1.14,5,1,VS1,5.89
1.24,3,2,SI2,5.89
1.5,4,1,I1,5.88
1.32,2,1,VS1,5.88
1.22,2,1,SI2,5.87
1.22,2,1,SI2,5.87
1.22,2,1,SI1,5.87
1.22,2,1,SI1,5.87
1,4,1,VS2,5.86
1,5,1,VS2,5.86
1,5,1,VS2,5.86
1,5,1,VS2,5.86
1,4,1,VS2,5.86
0.92,2,2,VS2,5.85
1.4,2,1,VS2,5.85
1.1,5,1,VS2,5.85
1.16,2,2,SI1,5.85
1.8,4,2,SI2,5.85
1.3,2,2,SI1,5.84
1,4,2,SI1,5.84
1.3,2,2,SI1,5.84
1.2,4,2,SI1,5.83
1.19,5,1,SI1,5.82
1.11,5,2,SI1,5.82
1.18,5,1,SI1,5.81
1.51,1,1,SI2,5.81
1.14,5,1,SI1,5.81
1.32,5,1,VS2,5.8
1.3,4,2,VS2,5.8
1.16,4,1,SI2,5.799
1.35,5,1,SI1,5.799
1.9,5,2,SI1,5.799
1,2,2,SI2,5.798
1.6,2,2,SI1,5.798
1.1,1,2,VS2,5.797
1.24,2,1,SI2,5.797
1.24,2,1,SI1,5.797
1.38,2,1,SI2,5.796
1.4,2,2,SI1,5.795
0.9,4,2,VS1,5.795
0.91,2,1,VS1,5.795
1.28,2,1,VS2,5.795
1.22,5,2,SI2,5.794
1.16,2,2,SI2,5.793
1.26,2,1,VS2,5.792
1.8,2,1,VS1,5.791
1.3,5,1,SI1,5.791
1.23,4,1,VS2,5.789
1.1,4,2,SI1,5.789
1.3,5,2,SI2,5.788
1.21,3,2,SI2,5.787
1.1,5,1,VS2,5.787
1.34,4,1,SI2,5.787
1.23,5,1,VS1,5.786
1.1,3,2,VS1,5.786
1.33,4,1,VS2,5.785
1.1,1,2,VS2,5.784
1,3,2,SI1,5.784
1.6,5,1,VS2,5.783
1.9,4,1,VS2,5.783
1.24,4,1,VS1,5.783
1.24,4,1,VS2,5.783
1.24,4,1,VS1,5.783
1.6,5,1,VS2,5.783
1.16,5,2,VS2,5.781
1.11,5,1,VS2,5.781
1.1,5,2,SI1,5.78
0.92,2,2,SI1,5.779
1.2,3,1,SI1,5.779
1.29,2,1,VS1,5.779
1.2,5,1,SI2,5.779
1.1,4,1,VS2,5.779
1.2,5,2,SI2,5.779
1.13,5,1,VS2,5.779
1.34,5,1,VS2,5.778
1.34,2,1,SI2,5.778
1.2,4,2,SI1,5.778
1.4,5,1,VS2,5.777
1.1,2,1,VS1,5.777
1,5,2,SI1,5.775
1.8,5,1,VS2,5.775
1.24,5,2,SI1,5.775
1,5,2,SI1,5.775
1.25,4,1,SI2,5.775
1,2,2,SI1,5.775
1,2,2,SI1,5.775
1,5,2,SI1,5.775
1.3,5,2,VS2,5.774
1.2,2,2,SI1,5.773
1.22,5,1,VS1,5.773
1.22,2,1,VS1,5.773
1.1,5,2,SI1,5.773
1.29,2,1,VS2,5.771
1.9,4,2,SI1,5.771
0.9,3,1,IF,5.771
1.13,1,1,SI1,5.771
1.5,4,2,SI1,5.77
1.9,2,2,SI1,5.768
1.23,5,1,VVS2,5.768
1.3,3,1,SI2,5.768
1.23,2,1,SI1,5.768
1.51,5,1,SI2,5.767
0.96,2,2,VS1,5.767
1.2,2,1,VVS2,5.767
1.7,2,2,SI1,5.767
1.7,4,2,SI1,5.767
1.4,3,2,SI1,5.766
1,4,1,VS2,5.766
1.4,5,2,SI1,5.766
1.56,2,1,SI2,5.766
1,3,1,VS2,5.766
1.38,2,1,SI2,5.765
1.2,2,1,VS1,5.765
1.33,5,1,SI2,5.765
1.7,5,1,VS1,5.764
1.23,2,1,VS2,5.763
1.2,2,1,SI1,5.763
1.14,2,1,SI1,5.763
1.23,4,1,SI1,5.763
1.5,5,2,SI1,5.762
1.35,2,2,SI2,5.761
1.27,5,1,VVS1,5.761
1.22,2,1,VS2,5.761
1.27,2,2,SI1,5.761
1.1,4,2,VS2,5.76
1.21,5,1,SI1,5.76
1.1,4,1,VS2,5.759
1.31,5,1,VS1,5.759
1.1,4,1,VS2,5.759
1.13,2,1,SI1,5.759
1.1,4,1,VS2,5.759
1.31,5,1,VS1,5.759
1.1,4,1,VS2,5.759
1,4,2,VS2,5.759
1.28,3,1,VS1,5.759
1.1,4,2,SI1,5.759
1.35,4,1,VS1,5.759
1.1,5,1,VS2,5.759
1.1,4,1,VS2,5.759
1.35,5,2,SI2,5.758
0.92,2,1,IF,5.758
1.7,3,1,VS2,5.758
1.6,2,2,SI1,5.758
1.8,5,2,SI1,5.758
0.9,4,2,VS1,5.757
0.9,4,2,VS1,5.757
1.8,2,1,SI1,5.756
1.34,5,2,SI2,5.756
1.1,3,1,VS2,5.756
1,4,2,SI1,5.755
1,2,2,SI1,5.755
0.9,4,1,IF,5.754
0.81,2,2,VVS1,5.752
1.7,4,1,SI1,5.752
1.1,2,2,SI1,5.751
1.17,2,1,SI1,5.751
1.17,5,1,SI1,5.751
1.3,5,2,SI2,5.751
1.15,4,1,VS2,5.75
1.11,5,1,SI1,5.75
1.51,1,1,I1,5.75
1.1,5,2,SI1,5.749
1.34,2,1,VS1,5.748
1.7,2,1,SI1,5.748
1.6,2,1,VS2,5.748
1.1,3,2,SI1,5.747
1.1,4,1,VS2,5.747
1.19,5,1,VS1,5.747
1.21,5,2,SI2,5.746
1.2,5,1,SI1,5.746
1.2,5,1,SI1,5.746
1.2,5,1,SI1,5.746
1.8,2,1,VS2,5.745
1.3,5,1,VS1,5.744
1.31,5,1,SI2,5.744
1.31,5,1,SI2,5.744
1.17,2,1,SI2,5.743
1,3,1,VS1,5.743
1.1,4,2,SI1,5.743
1.1,5,1,VS2,5.741
1.1,5,2,SI1,5.741
1.24,5,2,SI2,5.741
1.25,5,1,SI1,5.74
1.25,5,1,VS1,5.74
1.25,5,1,SI2,5.74
1.22,4,2,SI2,5.739
1.22,5,1,SI2,5.739
1.22,5,1,SI2,5.739
1.22,5,2,SI1,5.739
1.21,5,1,VS1,5.739
1.4,4,1,VS2,5.738
1.2,2,1,VS2,5.736
1.26,4,1,SI2,5.736
0.91,4,2,VVS2,5.733
1.2,4,2,SI1,5.733
2.27,1,1,I1,5.733
1.9,2,1,VS2,5.732
1.1,4,2,SI1,5.731
1.1,3,2,VS2,5.731
1.1,4,2,SI1,5.731
1,1,2,VS2,5.729
0.93,5,2,SI1,5.729
1.1,4,1,VS2,5.729
1.1,5,1,VS2,5.729
0.99,2,2,SI1,5.728
1,2,2,SI1,5.728
1.3,2,1,SI1,5.728
1.5,2,1,VS2,5.728
1.13,5,1,VS2,5.728
1,2,2,SI1,5.728
1.21,4,1,VS1,5.726
1.24,4,1,SI2,5.725
1.2,4,1,VS2,5.724
1.4,5,2,SI1,5.724
1,3,1,VS2,5.723
1.36,4,1,SI1,5.723
1.4,5,1,SI2,5.723
1.46,1,1,SI2,5.723
1,5,2,SI1,5.723
1,5,2,SI1,5.723
1,4,1,VS2,5.723
1.2,2,1,SI2,5.722
1.2,2,1,VS1,5.722
1.31,5,1,VS1,5.722
1.32,2,1,SI2,5.721
1.22,4,2,SI2,5.721
1.21,5,2,SI1,5.72
1,4,2,VS2,5.72
1.28,2,1,SI2,5.719
1,5,2,VS2,5.718
1.2,5,1,SI1,5.718
1,4,2,SI1,5.718
1.1,5,2,SI1,5.717
1.23,5,1,SI1,5.717
1.23,5,1,SI1,5.717
0.91,2,2,SI1,5.717
1.23,5,1,SI2,5.717
1.35,5,1,SI1,5.715
1.27,4,1,SI2,5.715
1.35,5,1,SI2,5.715
1.24,2,1,SI1,5.714
1.22,2,1,SI2,5.714
1.6,4,2,SI1,5.713
1.1,4,2,SI1,5.713
1.1,5,2,SI1,5.713
1.1,5,1,VS2,5.713
1.2,2,1,SI2,5.712
1.2,5,1,SI1,5.712
1.2,2,1,SI2,5.712
1.2,5,2,SI2,5.712
1.1,4,1,SI1,5.712
1.3,2,2,SI1,5.71
1.3,5,2,SI1,5.71
1.2,4,2,SI1,5.79
1.4,5,2,SI1,5.78
0.91,5,2,VVS2,5.78
1.21,2,1,VS2,5.77
1.25,2,1,SI2,5.76
1.2,3,1,VS1,5.76
1.7,5,2,SI1,5.74
1.7,2,2,SI2,5.74
1.5,2,1,SI1,5.74
1.2,5,2,VS2,5.74
1.1,4,2,SI2,5.73
1.22,2,1,SI2,5.73
1.22,2,1,SI2,5.73
1,3,1,VS2,5.72
1.1,2,2,SI1,5.72
1.6,2,1,VS1,5.72
1,3,1,VS2,5.72
1.16,5,1,SI1,5.72
1.5,2,2,SI2,5.72
1,4,1,VS2,5.72
1,4,1,VS2,5.72
1.1,5,1,VS2,5.71
1.1,3,1,VS2,5.71
1.1,3,1,VS2,5.71
1.1,5,2,SI1,5.71
1.2,4,2,SI1,5.71
1.1,5,1,VS2,5.71
1.1,3,1,VS2,5.71
1.1,3,1,VS2,5.71
1.1,4,1,VS2,5.71
1.1,3,2,SI1,5.7
1.1,3,2,VS2,5.7
1.14,5,1,VS2,5.7
1.2,2,1,VS2,5.699
1.2,5,1,VS2,5.699
1.2,5,1,VS2,5.699
1.2,5,1,VS2,5.699
1.2,4,1,SI2,5.698
1.1,2,1,SI1,5.698
1.19,5,1,SI1,5.698
1.19,5,1,SI1,5.698
1.7,2,1,VS2,5.698
1.5,2,1,VS2,5.697
1.6,2,1,SI1,5.697
1.1,4,1,VS2,5.696
2.1,1,1,I1,5.696
2.1,1,1,I1,5.696
1.16,2,1,SI2,5.695
1.5,2,1,I1,5.695
1.16,4,2,SI1,5.695
1.23,5,2,SI2,5.695
1.1,2,2,SI1,5.694
1.24,5,1,SI2,5.694
1.24,5,1,SI2,5.694
1.2,2,1,SI1,5.694
1.21,2,1,SI2,5.692
1.1,2,2,VS2,5.692
1.27,4,1,VS1,5.69
1.27,5,1,SI1,5.69
1.19,2,1,SI1,5.69
1.27,2,1,SI1,5.69
1.27,5,1,SI1,5.69
1.23,3,2,SI2,5.689
1.4,4,2,SI1,5.689
1.2,5,1,SI2,5.689
1.11,2,1,SI1,5.688
1.85,4,1,I1,5.688
1.1,4,1,VS1,5.687
1.2,5,2,SI1,5.686
1.2,5,2,SI1,5.686
1.1,4,2,SI1,5.684
1.1,4,1,VVS2,5.684
1.24,2,1,VS2,5.683
1.2,2,1,VS2,5.683
1.51,5,1,SI2,5.682
1.2,1,2,SI1,5.681
1.1,4,1,VS2,5.679
1.16,3,1,SI1,5.678
1.16,4,1,SI1,5.678
1.2,5,1,VS1,5.678
1.9,5,1,VS2,5.677
1.9,5,1,VS2,5.677
1.9,5,1,VS2,5.677
1.29,2,1,VS1,5.676
1.28,2,1,SI2,5.676
1.14,2,1,SI2,5.675
1.18,4,1,SI1,5.674
1.21,5,1,VVS2,5.674
1.4,5,1,VS2,5.674
1.5,1,1,VS2,5.673
1.1,5,1,VS1,5.673
1.21,4,1,SI1,5.672
1.22,5,1,SI2,5.671
1,4,2,SI1,5.671
0.99,4,2,SI1,5.671
1.22,5,1,SI1,5.671
1.35,2,1,SI2,5.67
1.25,2,1,SI2,5.67
0.9,4,1,IF,5.67
1.6,2,1,VS2,5.669
1.2,5,1,SI1,5.669
1.27,4,1,SI1,5.669
1,3,1,VS2,5.667
1.1,4,2,SI1,5.667
2,1,1,I1,5.667
0.96,2,2,VS1,5.666
1.5,4,2,SI1,5.666
1.2,5,2,VS2,5.666
1.1,1,1,VS2,5.666
1.2,5,1,VS2,5.666
1.23,4,1,VVS2,5.665
1.9,2,2,SI1,5.665
1.23,4,1,SI1,5.665
1.2,4,1,SI1,5.665
1.6,4,1,SI1,5.664
1.1,2,1,SI1,5.664
1.1,2,1,SI1,5.664
1.19,5,1,SI1,5.664
1.4,2,2,SI1,5.663
1.1,2,2,VS2,5.662
1.4,4,2,SI1,5.662
1.7,5,2,SI1,5.662
1.8,2,1,VS2,5.661
1.7,4,1,VS1,5.661
1.7,4,1,VVS2,5.661
1.5,5,2,SI1,5.659
1.5,4,1,VS1,5.657
1.18,2,1,SI2,5.657
1.1,5,2,SI1,5.656
1.1,4,2,SI2,5.656
1.1,5,2,SI1,5.656
1,2,2,SI1,5.656
0.9,2,2,SI1,5.656
1.2,2,2,SI1,5.655
1.6,2,2,SI1,5.655
1.1,3,1,VS2,5.655
1.2,5,2,SI1,5.655
1.1,4,2,SI1,5.654
1.23,5,1,VS2,5.654
1.28,4,1,SI2,5.654
1.3,2,1,SI1,5.653
0.9,4,1,VVS2,5.653
1.3,2,2,SI1,5.653
1.3,5,2,SI1,5.653
1.21,2,1,VS2,5.653
1.31,4,1,SI2,5.652
1.1,5,1,VS2,5.652
1.6,2,1,VS1,5.651
1.14,5,1,SI1,5.65
1.14,2,1,SI1,5.65
1.13,5,1,VS2,5.65
1.1,4,2,VS2,5.65
1.4,5,2,SI1,5.65
1.14,2,2,SI2,5.65
1.13,5,1,VS2,5.65
1.22,5,1,VS2,5.649
1.11,2,2,SI2,5.648
1.23,5,1,SI1,5.648
1.23,5,1,SI2,5.648
1.51,3,2,I1,5.647
1.29,2,1,VS2,5.646
1.1,2,2,SI1,5.646
1.15,4,1,VS2,5.646
1.1,3,2,SI1,5.646
1.1,5,2,SI1,5.646
1.15,3,1,VS2,5.646
1,5,2,SI1,5.645
1,3,1,VS2,5.645
1.5,1,1,I1,5.645
1,4,1,VS2,5.645
1,4,2,SI1,5.645
1,5,2,SI1,5.645
1,3,1,VS2,5.645
1,5,1,VS2,5.645
1.2,4,2,SI2,5.645
1.26,2,1,SI1,5.645
1.5,5,2,VS2,5.645
1.2,5,1,VS2,5.645
1.19,4,1,VS1,5.644
1.1,5,2,SI1,5.644
1.22,5,2,SI2,5.643
1.6,5,2,SI1,5.642
1,3,2,SI1,5.642
1.23,2,1,SI2,5.641
1.38,5,1,SI2,5.641
1.23,5,2,SI1,5.641
1.9,5,2,SI1,5.64
0.87,2,2,VS1,5.64
1.2,4,2,SI1,5.638
1.1,4,1,VS2,5.638
1.24,2,1,VS2,5.638
1.25,5,1,VS1,5.637
1.25,4,1,SI2,5.637
1.25,4,1,SI2,5.637
1.1,2,1,SI1,5.636
1.15,2,2,SI2,5.635
1.2,2,1,VS2,5.634
1.4,1,1,VS1,5.633
1,4,2,VS2,5.633
1.11,2,1,VS2,5.632
1.1,5,1,VS1,5.632
1.23,5,1,VS1,5.632
1.53,2,1,SI2,5.631
1.26,5,1,SI1,5.631
1.12,3,2,SI1,5.63
1,2,2,SI1,5.629
1.9,5,2,SI1,5.628
1.1,1,2,SI1,5.628
1.25,4,1,VS1,5.628
1.25,4,1,VS1,5.628
1.1,3,2,SI1,5.627
1.6,4,1,VS1,5.627
1.1,4,2,SI1,5.627
1.4,2,2,SI1,5.626
1.15,2,1,VS1,5.626
1.35,1,1,VS2,5.625
1.13,4,1,VS2,5.625
1.8,2,1,VS2,5.625
1.21,2,1,SI2,5.624
1.3,5,1,VS1,5.624
1.64,5,1,SI2,5.624
1.3,1,2,SI1,5.624
1.21,2,1,SI1,5.624
1.3,5,1,VS1,5.624
1,4,1,VS2,5.623
1.19,5,1,SI1,5.622
1.1,4,2,SI1,5.622
1,2,2,SI1,5.622
1.19,1,1,SI1,5.622
1.19,4,2,SI2,5.622
1,4,2,SI1,5.621
1,3,1,VS2,5.621
1,4,2,SI1,5.621
1.4,5,2,SI1,5.621
1.12,5,2,SI2,5.62
1.1,5,1,VS2,5.62
1.3,4,1,VS2,5.62
1.28,5,2,SI2,5.62
1.1,5,1,VS2,5.62
1,4,1,VS1,5.619
1.1,4,2,SI1,5.619
1.27,5,2,SI2,5.618
1.27,5,1,VS1,5.618
1.52,5,1,SI1,5.618
1.7,1,2,I1,5.617
1.18,5,1,SI1,5.617
0.93,4,2,VS2,5.616
1.1,3,2,VS2,5.616
1.16,2,2,SI2,5.615
1.5,4,1,VS2,5.614
1.2,2,1,SI2,5.613
1.6,2,2,SI1,5.613
1.35,4,1,SI1,5.613
1.4,5,2,SI1,5.612
1.31,4,1,SI2,5.612
1.1,5,1,VS2,5.611
1.2,2,1,SI2,5.61
1.1,2,1,SI1,5.61
1.35,3,1,VS2,5.61
1.2,4,1,SI2,5.69
1.3,2,2,SI1,5.68
1.2,4,1,SI1,5.67
1.25,5,1,SI1,5.67
2.22,1,1,I1,5.67
1.29,2,1,SI1,5.67
1,3,2,VS2,5.66
1.27,2,1,VS2,5.66
1.1,3,2,VS1,5.66
1,5,2,VS2,5.66
1.1,5,2,SI1,5.66
1,5,2,VS2,5.66
1.4,3,2,SI1,5.65
1.4,4,2,SI1,5.65
1.21,4,1,VS1,5.64
1.21,2,1,VS1,5.64
1.22,2,1,SI1,5.62
1.22,2,1,SI1,5.62
1.11,3,2,SI1,5.62
1.22,5,1,SI1,5.62
1.22,5,1,SI1,5.62
1.22,2,1,SI2,5.62
1.7,2,2,SI2,5.62
1.29,4,1,SI2,5.61
1.4,3,1,VS2,5.61
1.9,5,1,VS2,5.61
1.2,3,1,VS1,5.61
1.51,3,2,I1,5.61
1.23,2,1,SI1,5.6
1,4,1,VS2,5.6
1.13,5,1,SI1,5.6
1.1,4,2,SI1,5.6
1,5,2,SI1,5.6
1,3,1,VS2,5.6
1.2,3,1,VS1,5.6
1.1,5,2,SI1,5.599
1.1,5,2,SI1,5.599
1.1,5,2,SI1,5.599
1.1,5,2,SI1,5.599
1.1,2,2,SI1,5.599
1.1,2,2,SI1,5.599
1.1,5,2,SI1,5.599
1.1,2,2,SI1,5.599
1.1,3,1,VS2,5.599
1.1,5,2,SI1,5.599
1.1,3,1,VS2,5.599
1.1,3,1,VS2,5.599
1.1,5,2,SI1,5.599
1.19,2,2,SI2,5.598
1.2,3,1,VS1,5.598
1.2,4,2,SI1,5.598
1.2,4,1,VS1,5.598
1.2,4,2,SI1,5.598
1.21,3,1,SI1,5.597
0.91,4,2,VS1,5.597
1.1,2,2,SI2,5.596
1.19,4,1,SI1,5.595
1.19,5,1,SI1,5.595
0.88,2,2,VS2,5.595
1.3,2,2,SI1,5.595
1.17,4,1,SI2,5.595
1.14,4,2,SI2,5.593
1.2,5,1,VS2,5.593
1.5,2,1,I1,5.593
1.24,4,1,SI2,5.592
1.5,3,1,VS2,5.592
1.2,5,1,SI1,5.592
1,3,2,VS2,5.592
1.1,2,2,SI1,5.59
1.27,3,1,VS1,5.588
1.27,5,1,SI1,5.588
1.32,5,1,SI2,5.588
1.9,4,1,VVS1,5.588
1.16,2,1,VS2,5.587
1.15,4,1,SI1,5.587
1.22,2,1,SI1,5.586
1.33,4,1,SI2,5.586
1.17,4,1,VS2,5.585
1.24,4,1,SI1,5.584
1.13,4,2,SI1,5.584
1.1,2,1,SI1,5.583
1.24,5,2,SI2,5.583
1.31,4,1,SI2,5.582
1.2,5,1,VS2,5.581
1.3,5,1,SI1,5.581
1.13,5,2,SI1,5.581
1.5,5,1,VS1,5.58
1.6,5,2,SI1,5.58
1.3,5,1,VS2,5.579
1.35,4,1,SI2,5.579
1.2,2,1,SI1,5.578
1.2,2,1,SI2,5.578
1.4,2,1,VS1,5.577
1.4,2,1,VS1,5.577
1.6,2,1,VS1,5.577
1.1,2,1,SI1,5.576
1.16,3,1,SI1,5.576
1.8,3,2,SI1,5.575
1.7,5,1,VS2,5.573
1.21,5,1,VVS2,5.572
1,5,1,VS2,5.572
1.4,2,1,VS1,5.572
1.1,2,2,SI1,5.571
1.13,5,1,VS2,5.571
1,4,2,SI1,5.571
1.4,2,1,SI1,5.57
1.2,3,1,VS1,5.57
1.9,4,2,SI1,5.57
1.3,5,1,SI1,5.569
1.2,5,1,VS1,5.569
1.2,5,1,VS1,5.569
1.3,5,1,SI1,5.569
1.2,2,1,VS1,5.569
1.17,3,2,SI2,5.567
1.2,4,1,SI1,5.567
1.2,4,2,VS2,5.565
1.2,4,1,VS2,5.565
1.15,2,1,VS2,5.564
1.18,4,1,SI2,5.562
1.19,4,2,SI2,5.562
1.29,4,1,VS1,5.562
1.2,2,1,SI2,5.562
1.7,5,2,SI1,5.561
1.7,3,2,SI1,5.561
1.4,5,1,VS2,5.561
1.1,3,2,VS2,5.56
1.1,4,2,VS2,5.56
1.21,4,1,SI2,5.558
1.5,5,2,SI1,5.557
1,4,1,VS1,5.557
1.5,2,2,SI1,5.557
1.4,4,2,SI1,5.557
1.5,5,2,SI1,5.557
1.5,5,2,SI1,5.557
1.21,5,1,SI1,5.556
1.21,5,1,VS1,5.556
1.21,2,1,SI1,5.556
1.17,2,2,SI2,5.556
1.21,5,1,SI1,5.556
1.21,4,1,SI2,5.556
1.1,4,2,SI1,5.556
1.21,5,1,SI1,5.556
1,2,2,SI1,5.555
1.1,2,1,SI1,5.555
1.24,5,1,SI1,5.555
1,2,2,SI1,5.555
1.1,2,1,SI1,5.555
1.96,1,2,I1,5.554
1.16,2,1,SI1,5.554
1.16,5,1,SI1,5.554
1.16,5,1,SI1,5.554
1.2,4,2,SI1,5.553
1.2,2,2,SI1,5.553
1.9,4,1,VS2,5.551
0.9,1,2,VVS2,5.551
1.7,2,1,SI1,5.551
1.12,2,1,SI1,5.551
1.3,4,2,SI1,5.551
1.18,2,1,VS1,5.551
1.2,5,2,SI2,5.551
1.2,5,2,SI2,5.551
1.3,2,2,SI1,5.551
1.6,5,1,VS1,5.55
1.1,2,1,VS1,5.55
1.11,5,1,VS2,5.55
1.2,2,2,SI1,5.549
1.6,5,1,VS1,5.549
1.13,4,1,VS2,5.548
1.14,2,2,SI2,5.548
0.96,4,2,SI1,5.548
1.14,5,1,SI1,5.548
1.14,2,1,SI1,5.548
1.27,5,1,SI1,5.547
1.12,5,2,SI1,5.547
1.11,2,2,SI2,5.547
0.9,4,2,VS1,5.547
1.35,5,1,SI1,5.546
1.31,2,1,SI2,5.546
1,3,2,SI1,5.546
1.12,2,2,SI2,5.546
1.31,5,1,SI1,5.546
1.1,2,1,SI1,5.545
1,3,1,VS2,5.544
1,3,1,VS1,5.544
1,4,1,VS2,5.544
1,5,2,SI1,5.544
1,5,2,SI1,5.544
1.1,2,1,VS1,5.544
1.1,3,1,SI1,5.544
1,4,2,VS2,5.544
1.1,3,2,SI1,5.544
1.32,2,1,SI1,5.544
1.2,3,2,SI2,5.544
1,5,2,SI1,5.544
1,5,2,SI1,5.544
1.1,5,2,SI1,5.543
1.1,5,2,SI1,5.543
1.1,5,2,SI1,5.543
1.1,4,2,SI1,5.543
1.1,5,2,SI1,5.543
1.6,5,1,VS2,5.543
1.1,3,2,SI1,5.543
1.1,2,2,SI1,5.543
1.1,5,2,SI1,5.543
1.1,5,2,SI1,5.543
1.1,4,2,SI1,5.542
1.21,5,1,VS2,5.541
1.21,5,1,VS1,5.54
0.9,2,1,VS1,5.54
0.7,2,2,VVS2,5.539
0.7,2,2,VVS2,5.539
1.9,4,2,SI1,5.539
0.7,2,2,VVS2,5.539
0.7,2,2,VVS2,5.539
0.7,2,2,VVS2,5.539
1.15,4,1,SI1,5.538
1.1,1,1,VS2,5.538
1.1,5,1,VS2,5.538
1.1,3,1,VS2,5.538
1.7,2,2,SI1,5.537
1.16,4,1,VS2,5.537
1.5,5,1,SI1,5.536
1.2,2,1,SI1,5.535
1.1,2,1,SI2,5.535
0.9,5,2,VS1,5.535
1.6,5,2,SI1,5.535
0.91,2,2,SI1,5.535
1.4,3,1,VS2,5.535
1.1,4,2,SI1,5.534
1.1,2,2,SI1,5.534
1.1,2,2,SI1,5.534
1.2,2,1,VS1,5.534
1.8,2,2,SI1,5.534
1.15,2,1,VS2,5.534
1.1,4,2,SI1,5.533
1.52,1,1,SI2,5.533
1.1,5,2,SI1,5.532
1.7,2,1,SI1,5.532
1.4,2,2,SI2,5.531
0.91,4,2,VS1,5.53
1.27,4,1,VS2,5.53
1.21,5,1,SI2,5.529
1,4,2,SI1,5.528
1.4,2,2,SI1,5.528
1.1,2,2,SI1,5.527
1.9,2,2,SI1,5.527
1.3,3,2,SI1,5.526
1.15,2,2,SI1,5.526
1.13,4,1,SI1,5.526
1.1,5,2,SI1,5.525
